Country,Code,Region,Subregion,Percapitaplasticwaste(kg/person/day),Plasticwastegeneration(tonnes),Mismanagedwaste(percent),Mismanagedwaste2025(percent)
Albania,ALB,Europe,Southern Europe,0.069,73364.0,0.0933,0.0913
Algeria,DZA,Africa,Northern Africa,0.144,1898343.0,1.6347,1.4729
Angola,AGO,Africa,Middle Africa,0.062,528843.0,0.1964,0.198
Anguilla,AIA,Americas,Caribbean,0.252,,0.0002,0.0001
Antigua and Barbuda,ATG,Americas,Caribbean,0.66,22804.0,0.0039,0.002
Argentina,ARG,Americas,South America,0.183,2753550.0,0.4955,0.4635
Aruba,ABW,Americas,Caribbean,0.252,9352.0,0.0012,0.0007
Australia,AUS,Oceania,"Australia, New Zealand",0.112,900658.0,0.0436,0.0357
Bahamas,BHS,Americas,Caribbean,0.39,51364.0,0.0042,0.0025
Bahrain,BHR,Asia,Western Asia,0.132,59785.0,0.0137,0.0144
Bangladesh,BGD,Asia,Southern Asia,0.034,1888170.0,2.4725,3.1996
Barbados,BRB,Americas,Caribbean,0.57,58164.0,0.0109,0.0054
Belgium,BEL,Europe,Western Europe,0.08,318151.0,0.0086,0.0083
Belize,BLZ,Americas,Central America,0.172,20191.0,0.0122,0.0087
Benin,BEN,Africa,Western Africa,0.043,144382.0,0.1351,0.1729
Bermuda,BMU,Americas,Northern America,0.252,5990.0,0.0004,0.0003
Bosnia and Herzegovina,BIH,Europe,Southern Europe,0.144,195633.0,0.0407,0.0292
Brazil,BRA,Americas,South America,0.165,11852055.0,1.4804,1.3813
British Virgin Islands,VGB,Americas,Caribbean,0.252,2504.0,0.0002,0.0001
Brunei,BRN,Asia,South-eastern Asia,0.026,3688.0,0.0003,0.0005
Bulgaria,BGR,Europe,Eastern Europe,0.154,415707.0,0.0588,0.0373
Cambodia,KHM,Asia,South-eastern Asia,0.066,344698.0,0.0932,0.091
Cameroon,CMR,Africa,Middle Africa,0.046,335305.0,0.087,0.104
Canada,CAN,Americas,Northern America,0.093,1154309.0,0.025,0.0212
Cape Verde,CPV,Africa,Western Africa,0.065,11919.0,0.0294,0.0267
Cayman Islands,CYM,Americas,Caribbean,0.252,5106.0,0.0003,0.0002
Chile,CHL,Americas,South America,0.119,738106.0,0.0683,0.0616
China,CHN,Asia,Eastern Asia,0.121,59079741.0,27.6966,25.7893
Colombia,COL,Americas,South America,0.144,2413455.0,0.2895,0.2605
Comoros,COM,Africa,Eastern Africa,0.201,50599.0,0.1822,0.146
Congo,COG,Africa,Middle Africa,0.069,110479.0,0.0527,0.0577
Cook Islands,COK,Oceania,Polynesia,0.144,,0.0013,0.0011
Costa Rica,CRI,Americas,Central America,0.258,428029.0,0.1322,0.1099
Cote d'Ivoire,CIV,Africa,Western Africa,0.103,766988.0,0.611,0.7776
Croatia,HRV,Europe,Southern Europe,0.252,406347.0,0.0517,0.0284
Cuba,CUB,Americas,Caribbean,0.089,368154.0,0.2846,0.2612
Curacao,CUW,Americas,Caribbean,0.252,13678.0,0.0008,0.0005
Cyprus,CYP,Asia,Western Asia,0.248,100713.0,0.0057,0.0038
Denmark,DNK,Europe,Northern Europe,0.047,95171.0,0.0056,0.0061
Djibouti,DJI,Africa,Eastern Africa,0.103,31999.0,0.0544,0.066
Dominica,DMA,Americas,Caribbean,0.149,3885.0,0.0025,0.0021
Dominican Republic,DOM,Americas,Caribbean,0.144,520238.0,0.3713,0.331
Ecuador,ECU,Americas,South America,0.147,801321.0,0.3435,0.3055
Egypt,EGY,Africa,Northern Africa,0.178,5464471.0,3.0367,2.8047
El Salvador,SLV,Americas,Central America,0.147,330763.0,0.3729,0.3284
Equatorial Guinea,GNQ,Africa,Middle Africa,0.144,49990.0,0.0188,0.0204
Eritrea,ERI,Africa,Eastern Africa,0.045,72120.0,0.0511,0.0629
Estonia,EST,Europe,Northern Europe,0.176,85534.0,0.0188,0.0121
Fiji,FJI,Oceania,Melanesia,0.189,59324.0,0.1547,0.1028
Finland,FIN,Europe,Northern Europe,0.234,458084.0,0.0157,0.0093
France,FRA,Europe,Western Europe,0.192,4557128.0,0.0757,0.0502
French Polynesia,PYF,Oceania,Polynesia,0.252,24634.0,0.004,0.0026
Gabon,GAB,Africa,Middle Africa,0.054,32329.0,0.0191,0.0224
Gambia,GMB,Africa,Western Africa,0.048,29646.0,0.0616,0.0774
Georgia,GEO,Asia,Western Asia,0.068,97443.0,0.0454,0.0355
Germany,DEU,Europe,Western Europe,0.485,14476561.0,0.0981,0.0482
Ghana,GHA,Africa,Western Africa,0.04,357877.0,0.2876,0.4706
Greece,GRC,Europe,Southern Europe,0.2,811858.0,0.0447,0.027
Greenland,GRL,Americas,Northern America,0.252,5234.0,0.0003,0.0002
Grenada,GRD,Americas,Caribbean,0.325,12417.0,0.0071,0.0035
Guam,GUM,Oceania,Micronesia,0.252,14666.0,0.0012,0.0008
Guatemala,GTM,Americas,Central America,0.28,1495229.0,0.2875,0.2283
Guinea,GIN,Africa,Western Africa,0.03,118196.0,0.0581,0.0867
Guinea-Bissau,GNB,Africa,Western Africa,0.054,30666.0,0.0636,0.0752
Guyana,GUY,Americas,South America,0.586,159681.0,0.1319,0.0523
Haiti,HTI,Americas,Caribbean,0.09,328487.0,0.4628,0.4693
Honduras,HND,Americas,Central America,0.189,565317.0,0.3003,0.2738
Hong Kong,HKG,Asia,Eastern Asia,0.398,1020406.0,0.0895,0.0544
Iceland,ISL,Europe,Northern Europe,0.281,32620.0,0.0019,0.0013
India,IND,Asia,Southern Asia,0.01,4493080.0,1.8836,4.1711
Indonesia,IDN,Asia,South-eastern Asia,0.057,5045714.0,10.1019,10.7345
Iran,IRN,Asia,Western Asia,0.144,3919268.0,0.7769,0.666
Iraq,IRQ,Asia,Western Asia,0.103,1156524.0,0.0489,0.069
Ireland,IRL,Europe,Northern Europe,0.43,715716.0,0.0368,0.0203
Israel,ISR,Asia,Western Asia,0.297,826436.0,0.0597,0.0408
